LearnerID,InitialEnglishLevel,DailyStudyTime,StudyFrequency,VocabularyMastery,GrammarMastery,ListeningComprehension,OralExpression,ReadingAbility,WritingAbility,Memorization,Understanding,Application,Analysis,Evaluation,Creation,LearningPathCategory
L0014,Beginner,1.3,6,44.17680752239401,30.170160739271594,59.01500346552158,49.584719964733274,44.21827286160877,35.3178390487064,2,1,2,1,1,2,Beginner_Path
L0015,Beginner,1.5,5,41.07444374340893,40.30683123010048,32.91141135379278,50.23793622513165,55.262159587962785,16.644295231291252,2,2,2,1,2,1,Beginner_Path
L0016,Beginner,1.9,3,43.8737148063299,28.36563842780512,39.34062869107595,47.492964983753154,47.675090818172976,33.20797345680859,2,1,2,2,1,2,Beginner_Path
L0017,Elementary,0.5,6,53.23185482458206,45.37574859335866,54.24328927342937,53.23998955584328,64.78513878573543,54.59496076599441,2,2,2,2,2,2,Elementary_Path
L0018,Elementary,1.1,2,62.83816859853562,41.853091712119074,70.37551319034344,48.927430657795526,39.53380891906498,41.349449671950296,3,2,2,2,2,2,Elementary_Path
L0019,Elementary,2.1,3,62.94985584816956,46.29368006703819,48.41617282059555,43.02969309334091,53.17362633255361,30.252214587616052,3,2,2,2,2,2,Beginner_Path
L0020,Elementary,0.6,7,55.44220352340347,21.192608944765027,49.054963040509925,38.468424952449084,51.55246052058279,43.3548546820383,2,1,2,2,1,2,Beginner_Path
L0021,Intermediate,1.7,5,68.45802872562928,36.70318184791917,69.78140575555808,61.62995703432687,63.510912916767346,46.42827626108294,3,1,3,2,2,3,Elementary_Path
L0022,Beginner,0.6,3,45.14062552424776,41.15967006046838,39.22771274289429,26.26369607453202,53.762319706355726,39.91814401087963,2,2,1,2,2,1,Beginner_Path
L0023,Elementary,1.8,1,45.38830267965381,55.37181405649051,56.52525882897616,38.06079070824607,47.79210850207946,52.733998160676116,2,2,2,2,2,2,Beginner_Path
L0024,Elementary,1.5,3,57.5656467491314,35.89513296468479,39.48462579031873,59.5291325620481,45.944966334459124,34.43729592251894,2,1,2,2,2,2,Beginner_Path
L0025,Elementary,0.5,2,36.05504931140739,42.55971647828866,77.14329942556597,67.00649041722087,55.33980797418664,37.941959448843505,1,2,3,2,1,2,Elementary_Path
L0026,Intermediate,2.3,1,70.53891552295883,57.94719252902301,51.52290769690597,61.93295138166481,42.21797272434152,62.566424651069376,3,2,2,2,3,2,Elementary_Path
L0027,Beginner,1.0,4,28.05477060233965,41.93217601658704,41.78247296009792,49.064571522946444,37.63147950877822,26.411557217010408,1,2,2,1,1,1,Beginner_Path
L0028,Elementary,0.9,5,52.85803286794733,24.723227283291514,54.67518964157905,45.541516825560166,48.65802310714547,34.17841864172005,2,1,2,2,1,2,Beginner_Path
L0029,Intermediate,1.6,5,51.54846041573841,46.13959753021623,84.12688134356796,44.62325813912316,50.796413836930746,43.21308868203745,2,2,3,2,2,2,Elementary_Path
L0030,Beginner,2.3,3,45.533889830744265,31.67420620150125,31.7515421906726,44.12171618618584,50.57059011356577,38.520386129581205,2,1,1,2,1,2,Beginner_Path
L0031,Intermediate,0.8,6,59.660747740720915,62.03140197236049,84.83704135478752,63.69289323270064,49.37759682656716,58.091577195174644,2,3,3,2,3,3,Elementary_Path
L0032,Beginner,1.5,1,24.052440418366675,59.98430483721495,52.57176821102023,38.716685538802444,38.64126951636204,28.159539696209585,1,2,2,1,2,1,Beginner_Path
L0033,Beginner,1.8,4,44.20699631018479,32.71994273190282,49.170953244232464,35.576245418948886,42.93157225322968,35.05085396128234,2,1,2,1,1,2,Beginner_Path
L0034,Upper-Intermediate,2.0,1,69.22079223167289,55.93022537896012,70.15366312982044,82.62210578581099,88.53451561476119,85.27132384155131,3,2,3,4,3,4,Intermediate_Path
L0035,Advanced,1.6,5,98.81146720813369,89.02268077201298,100.0,78.14266966572525,89.89443565119147,75.25939843081778,4,4,4,4,4,4,UpperIntermediate_Path
L0036,Upper-Intermediate,1.2,1,75.01325688734407,83.2099578954071,72.765133775802,65.26219421109343,84.3615359412821,50.48257390989551,3,4,3,3,3,3,Intermediate_Path
L0037,Elementary,0.9,4,53.95420985388038,46.08014120979501,67.66661253198413,37.91893493239572,57.00595397277127,49.5507557572037,2,2,2,2,2,2,Elementary_Path
L0038,Beginner,1.6,6,30.42431044984788,25.933514548457072,35.28937970892267,38.849729626358275,41.23457556169143,33.89598836098411,1,1,1,1,1,1,Beginner_Path
L0039,Intermediate,0.7,3,54.10667768572638,64.5799394148002,63.86841505543916,47.12106987890742,49.10486591726544,47.899749131848985,2,3,2,2,2,2,Elementary_Path
L0040,Elementary,0.5,2,45.413613638989155,51.63545618498435,49.44726911986828,41.15757819484757,35.65419139095651,51.52080237354908,2,2,2,2,2,2,Beginner_Path
L0041,Beginner,1.8,1,48.56702480242556,24.739191558043757,35.12477037573005,30.94244437772802,41.065054014191865,43.3922514466879,2,1,1,2,1,1,Beginner_Path
L0042,Elementary,2.1,2,66.77377087805489,48.81425617534342,62.413198169079145,45.39391667666042,44.57303126097386,22.917219801199074,3,2,2,1,2,2,Beginner_Path
L0043,Beginner,0.5,5,31.948282482571237,44.97265567658873,50.354587474096334,23.126255535960233,49.19261091681292,28.474020906685116,1,2,1,1,1,1,Beginner_Path
L0044,Upper-Intermediate,0.8,3,85.7684814465768,81.81890042558894,92.09010198900997,73.87204992037267,82.45856518098577,93.17516231196855,4,4,4,4,4,4,UpperIntermediate_Path
L0045,Elementary,1.9,7,28.30322582274298,44.33551024690544,37.20124891791833,60.47303650664678,48.1538900556295,50.83404915798191,1,2,2,2,1,2,Beginner_Path
L0046,Intermediate,2.9,3,48.058105989077106,51.41920553820681,75.64170702341043,59.35491372316762,48.42287076058731,61.7610363829715,2,2,3,2,2,3,Elementary_Path
L0047,Elementary,1.5,1,40.41221543813225,57.27273822081263,80.05448905356894,63.41321144801321,55.107355496072735,56.72894278631478,2,2,3,2,2,3,Elementary_Path
L0048,Elementary,1.0,6,36.474913105592776,32.89839497019115,50.48358910823053,61.33998185876925,39.8205055386485,45.17068825199726,1,1,2,2,1,2,Beginner_Path
L0049,Elementary,1.4,3,34.1641161021242,49.38579290921005,73.9514861210897,55.777350472478545,42.41536077069135,52.9668416009162,1,2,3,2,2,2,Elementary_Path
L0050,Beginner,2.5,1,44.129989121377974,21.299733726355708,42.36838727940173,38.74685842636886,30.205842617848454,42.180620438372024,2,1,2,1,1,1,Beginner_Path
L0051,Advanced,1.0,1,87.85932302272138,95.65376272259603,81.27590262438693,88.2250038824544,88.61498978060047,90.39041496752759,4,4,4,4,4,4,UpperIntermediate_Path
L0052,Intermediate,0.9,2,63.794053976051096,52.41954484388839,61.94367557593205,65.6379977236326,71.70192334070562,51.779880293825954,3,2,3,3,2,3,Elementary_Path
L0053,Upper-Intermediate,1.2,3,81.90472686121512,82.68583235647469,90.48203967675276,69.08329390495967,74.94959129776471,71.72058922366259,4,4,3,3,4,3,Intermediate_Path
L0054,Upper-Intermediate,0.8,1,77.65616993172533,74.91412756355527,71.61823517668469,54.17479248532536,70.56781307572304,64.11638435693222,3,3,3,3,3,3,Intermediate_Path
L0055,Intermediate,1.6,2,66.57763176150374,42.7677976993807,58.99661340993513,62.9200405410296,44.74385069954756,55.12814304566495,3,2,3,2,2,2,Elementary_Path
L0056,Upper-Intermediate,2.6,4,74.3046771375773,84.24627732077244,85.93539432293191,61.68931370065029,80.52124584729843,58.31509107900733,3,4,3,3,3,3,Intermediate_Path
L0057,Beginner,1.7,7,28.130066116942555,50.51245266427729,45.030601167385726,28.378587718096153,32.19595394071372,27.093760087270475,1,2,1,1,1,1,Beginner_Path
L0058,Beginner,1.3,2,50.57814180820796,43.82286492599216,50.84622952486741,38.00223947995788,41.17517619158097,32.17687958075071,2,2,2,1,2,2,Beginner_Path
L0059,Beginner,1.3,2,34.10887867218873,27.3841213496378,47.37829540758336,37.0487512244653,36.457813840833595,25.56294568569924,1,1,2,1,1,1,Beginner_Path
L0060,Elementary,0.5,1,40.64403701237574,41.93986045642591,59.79625319551573,33.87924393684369,58.38177219599437,39.949827292548235,2,2,2,2,2,2,Beginner_Path
L0061,Elementary,2.1,5,48.22082124195602,46.45427217405759,50.67698814190459,49.6549156413314,48.427636079714475,43.36074023244484,2,2,2,2,2,2,Beginner_Path
L0062,Elementary,1.4,5,40.87189080703487,37.96289600668567,57.31730942030393,57.66139660861049,49.410736454769484,49.02262344664378,2,1,2,2,1,2,Beginner_Path
L0063,Upper-Intermediate,1.4,6,70.82569618010568,86.92346572463205,70.72626994304066,61.71658429734217,79.8574714745546,79.4925730185291,3,4,3,3,3,3,Intermediate_Path
L0064,Elementary,3.7,5,53.440539215634665,46.44326471726037,67.88433622503389,60.72483330848759,71.06940182263186,40.36215628621892,2,2,3,2,2,3,Elementary_Path
L0065,Elementary,1.7,2,53.48341739246127,17.966519528926426,48.65725283182687,32.39829174870056,58.88446930358555,58.35104617268624,2,0,2,2,1,2,Beginner_Path
L0066,Elementary,1.0,6,41.021699335743705,48.3935581275622,66.28847487549389,69.17324144370954,49.113938936513904,54.38611078625493,2,2,3,2,2,2,Elementary_Path
L0067,Beginner,1.2,1,35.12294627051256,31.51842603182687,42.663930390171345,33.88739569516517,40.031979906152884,40.04093831943942,1,1,1,2,1,1,Beginner_Path
L0068,Upper-Intermediate,2.3,3,85.74333004770244,69.25073443881553,82.01999010757321,74.45616996826891,69.75140539675566,71.53649129296619,4,3,3,3,3,3,Intermediate_Path
L0069,Beginner,1.6,7,44.96400117733941,31.313806342143003,40.050354491092996,19.0796642751433,30.50004296480305,38.19120841868541,2,1,1,1,1,1,Beginner_Path
L0070,Advanced,0.5,7,100.0,93.07046416606687,84.8400456883197,87.37863933530691,84.47249212933679,96.87051150666382,5,4,4,4,4,4,Advanced_Path
L0071,Intermediate,2.1,2,71.80128173741528,66.19687778553381,47.552396123946984,60.28482177718192,52.278510362880574,67.23579659759274,3,3,2,2,3,2,Elementary_Path
L0072,Beginner,1.0,2,51.44293068559939,37.830531622586534,34.446758414075404,37.13837895900505,46.533683837958854,48.34946728383643,2,1,1,2,2,2,Beginner_Path
L0073,Beginner,2.8,6,26.12131449544198,31.606888128618408,41.760911467840785,32.36918922947626,29.28805142131014,35.41326831877003,1,1,1,1,1,1,Beginner_Path
L0074,Upper-Intermediate,2.3,1,82.63860351633423,69.5866279519083,82.11879178828885,63.53435481472185,88.33210561380044,75.54967164998612,4,3,3,4,3,3,Intermediate_Path
L0075,Intermediate,1.2,4,59.46893198303089,55.195996165776286,75.10379313283264,69.30526619537311,67.5204638361883,68.43546506622052,2,2,3,3,2,3,Intermediate_Path
L0076,Intermediate,2.4,2,54.490181964617506,46.975699601351636,60.54242540203151,58.3080713499795,60.20501729367668,48.76283965083607,2,2,2,2,2,2,Elementary_Path
L0077,Intermediate,1.5,4,61.680153405325285,60.789286485712346,56.18039235732826,73.40752376516772,60.00318611465068,51.81583146281696,3,3,3,2,3,3,Elementary_Path
L0078,Beginner,2.1,4,49.45211534611484,39.60042323860466,30.572852139972873,32.73517645205077,34.42718690385446,35.16036663013478,2,1,1,1,2,1,Beginner_Path
L0079,Elementary,1.8,5,55.008315910042114,60.404412397766734,59.800636179041035,43.65205306627783,52.70084411347764,53.995987379794066,2,3,2,2,2,2,Elementary_Path
L0080,Beginner,0.9,1,31.2152619865794,47.55349780288475,58.83194515329343,46.15594244596163,50.88092463208589,44.151721507186224,1,2,2,2,1,2,Beginner_Path
L0081,Upper-Intermediate,1.0,7,82.4245891359262,63.1432508240987,92.66330267956289,56.77025037996436,67.96843537744186,67.69135888802064,4,3,3,3,3,3,Intermediate_Path
L0082,Intermediate,2.2,7,53.62412457924036,63.20298374508965,72.09932748147237,45.86536639847077,44.666079110812696,39.9139054562029,2,3,2,2,2,2,Elementary_Path
L0083,Elementary,1.3,4,52.16683118964286,35.49046616905528,61.38543317267599,58.97484971353164,57.03218254856744,47.46183944295967,2,1,3,2,2,2,Elementary_Path
L0084,Beginner,1.2,7,36.96649932522866,41.9593210094085,61.97623779709341,26.280660707768053,43.243659742438005,25.816838626715988,1,2,2,1,1,1,Beginner_Path
L0085,Elementary,0.8,1,47.811337482643744,39.83385801239892,58.32081461416811,29.80948984697452,38.798011985588204,30.100637953597776,2,1,2,1,2,1,Beginner_Path
L0086,Elementary,1.8,5,57.662429750405096,34.76746776624415,61.461296760241716,66.68527188073091,42.66608629085882,32.36128439266284,2,1,3,1,2,2,Beginner_Path
L0087,Intermediate,2.9,1,49.598062801841024,57.800453426974045,61.79216138148001,44.06182352125795,51.40895725949859,58.263810078455606,2,2,2,2,2,2,Elementary_Path
L0088,Intermediate,0.8,2,79.45195074276933,28.25432871845859,51.37956629145243,59.8411939832817,52.75467730965751,68.61037360932806,3,1,2,3,2,2,Elementary_Path
L0089,Upper-Intermediate,1.5,4,56.78913930705504,52.490244255947715,73.16151099500424,73.69085192724272,71.76317245958812,70.38894516236243,2,2,3,3,2,3,Intermediate_Path
L0090,Elementary,2.5,1,44.02332316745143,43.22508116225717,54.90840961465345,19.893716833819163,47.33452695719253,47.11380654645965,2,2,1,2,2,2,Beginner_Path
L0091,Beginner,1.4,7,43.70211889941741,35.824417666348424,45.60785372501303,35.326829768321915,33.492063449315395,46.82894938877925,2,1,2,2,1,2,Beginner_Path
L0092,Intermediate,1.8,3,65.8431416643531,51.30681229841811,84.26285854855394,62.4841324947911,52.41836180500072,39.555450909164456,3,2,3,2,2,2,Elementary_Path
L0093,Intermediate,0.8,1,58.99524279428295,39.20563701282401,65.81277167591068,61.543093815188605,57.712156560806186,60.201764216002715,2,1,3,2,2,3,Elementary_Path
L0094,Intermediate,1.8,4,59.42609296998457,46.821081578614944,76.78843444025644,67.03520683803501,61.676915348595614,54.884102156811785,2,2,3,2,2,3,Elementary_Path
L0095,Intermediate,1.4,5,64.10550085327617,58.91209327237394,60.64922758423684,54.12508685094566,56.837034636351554,60.66057458832067,3,2,2,2,3,2,Elementary_Path
L0096,Elementary,2.2,7,47.6893052254232,50.81781770628363,51.88324114234766,55.125044420921604,61.58667023341302,40.16516091596184,2,2,2,2,2,2,Elementary_Path
L0097,Elementary,2.3,5,63.93181257934906,44.83776882404059,41.70992362776552,41.10670931919928,55.08087714420786,36.820627095735176,3,2,2,2,2,2,Beginner_Path
L0098,Elementary,3.3,4,58.39349114231602,56.56833781036989,47.57671987123428,33.89532583587225,34.09154143141304,46.405089042856055,2,2,2,2,2,2,Beginner_Path
L0099,Beginner,1.9,7,48.728243510056345,38.97397023459234,50.269813913637535,25.022716243187674,45.23727765413854,51.49191323334462,2,1,1,2,2,2,Beginner_Path
L0100,Beginner,1.7,2,30.33843276629583,27.525443460417875,45.07560180394133,23.378895448045853,46.05543982585583,43.609101045414626,1,1,1,2,1,1,Beginner_Path
L0101,Beginner,1.6,7,39.206115755942974,32.194979465883826,54.42938619897234,48.095859678911935,35.652650318758084,29.923072298199084,1,1,2,1,1,2,Beginner_Path
L0102,Intermediate,1.3,2,56.995340512792964,40.97133842792145,66.81253948345051,42.85426490941443,45.04802412696844,41.590279640187205,2,2,2,2,2,2,Beginner_Path
L0103,Elementary,1.7,5,39.94398624310534,43.918610096085835,51.47546268362258,50.74038840649303,50.08066759411136,28.179327163022144,1,2,2,1,2,2,Beginner_Path
L0104,Elementary,1.3,5,53.60164183945767,56.121006192213386,76.48296863786959,45.34075805927567,49.92291348517756,58.160994518504815,2,2,3,2,2,2,Elementary_Path
L0105,Upper-Intermediate,1.6,4,69.62354242220184,76.85290084710968,79.06096431286953,71.97351426549369,63.78353763466805,60.44917711864173,3,3,3,3,3,3,Intermediate_Path
L0106,Beginner,2.4,2,46.55403829850237,49.02009325919122,56.63000969705304,51.636072951996994,25.487807837400645,31.744865870050635,2,2,2,1,2,2,Beginner_Path
L0107,Elementary,0.8,5,39.29808437105668,41.97114756201007,50.98790793455322,43.61572632784727,49.124464535465606,58.212111260775764,1,2,2,2,2,2,Beginner_Path
L0108,Intermediate,2.3,2,77.1904061284182,68.46099794514258,72.09599479383567,64.11601561549683,57.66922807949178,38.86098544521008,3,3,3,2,3,2,Elementary_Path
L0109,Beginner,2.4,5,31.03667341407938,33.066957735520305,54.28015659151687,38.37563351381112,35.82734634677607,49.92264509475059,1,1,2,2,1,2,Beginner_Path
L0110,Beginner,1.4,7,42.19302337200436,49.715850825698936,47.08491970575581,36.47981094367302,39.16589265253439,32.46359546107498,2,2,2,1,2,1,Beginner_Path
L0111,Elementary,0.5,1,57.918593103880674,44.781432525578765,31.455170773033977,70.99969124386473,38.97223626179681,33.514166847612614,2,2,2,1,2,2,Beginner_Path
L0112,Beginner,1.1,3,34.293595697998875,42.072313738042766,45.18252460856113,23.5865825428463,35.65179387133886,32.526490728510865,1,2,1,1,1,1,Beginner_Path
L0113,Upper-Intermediate,2.4,7,83.52468643432951,84.75112364309855,92.30460047759975,85.89131835437445,80.33325030614347,62.77403218598522,4,4,4,3,4,4,UpperIntermediate_Path
L0114,Upper-Intermediate,1.5,6,62.70816402199584,68.06572371418794,85.27480833027731,79.56406565489972,71.5002991964871,74.40819798905716,3,3,4,3,3,3,Intermediate_Path
L0115,Intermediate,0.8,1,74.5211769918256,57.18388987544174,69.45838875229246,53.20475005368216,43.280275282074484,48.518675661122224,3,2,3,2,3,2,Elementary_Path
L0116,Upper-Intermediate,1.1,6,75.14149264965758,82.88863425206303,62.77743066042481,89.29318517441612,70.27307722276429,50.88357789080957,3,4,3,3,3,3,Intermediate_Path
L0117,Upper-Intermediate,2.1,5,69.0358859203112,68.66996836069936,72.7954492932494,54.51889887611463,64.2984153649314,67.7943746559101,3,3,3,3,3,3,Intermediate_Path
L0118,Beginner,1.9,3,37.00818227572566,21.791077174938387,49.11357631151439,32.782333427009284,42.67136296461731,21.43454947713461,1,1,2,1,1,1,Beginner_Path
L0119,Upper-Intermediate,1.3,3,83.08919269392719,91.4300705458491,84.10383276786892,60.91517795730924,78.18837403380425,72.0431988398832,4,4,3,3,4,3,Intermediate_Path
L0120,Elementary,1.2,5,44.155447081495616,40.30235535662863,67.14666780132903,52.1208346487146,33.412253749139694,33.12869667716676,2,2,2,1,2,2,Beginner_Path
L0121,Upper-Intermediate,1.2,5,67.50642310577223,71.58756050937542,78.55133244853906,61.869358988128226,82.5901297058219,65.11987196827914,3,3,3,3,3,3,Intermediate_Path
L0122,Upper-Intermediate,0.9,2,72.78463402416261,81.56006669451128,84.05824086673815,77.33063946741319,63.87813698721442,71.82587804214336,3,4,4,3,3,3,Intermediate_Path
L0123,Elementary,2.6,5,38.23037887230032,38.91506096268798,55.16374241931294,46.13563584178446,65.59182290482352,42.87541274965731,1,1,2,2,1,2,Beginner_Path
L0124,Beginner,1.3,4,58.205439079418156,24.921320867778697,35.13057263498443,33.20646057343916,39.51223735499383,37.504302830010445,2,1,1,1,2,1,Beginner_Path
L0125,Beginner,2.4,5,34.336054087852766,37.53737296774833,22.442086689052523,41.8864724603331,27.536065014608376,41.80287165717757,1,1,1,1,1,1,Beginner_Path
L0126,Elementary,2.6,4,58.31616786180403,27.069236020876104,59.31009692130077,45.31378376061936,38.58013929307319,33.420663002686936,2,1,2,1,2,2,Beginner_Path
L0127,Upper-Intermediate,2.2,5,77.09470083647773,67.1209392313208,81.73947208412811,62.11365156940961,78.48095291787345,69.35602459375292,3,3,3,3,3,3,Intermediate_Path
L0128,Upper-Intermediate,1.2,2,65.15465949518031,72.45038664315406,73.8182495789983,100.0,71.08700110101623,36.70496202491871,3,3,4,2,3,3,Intermediate_Path
L0129,Beginner,1.8,4,39.940452907872704,32.30048103174836,28.80826943484135,33.12832816970855,39.03346090381859,37.47333301682524,1,1,1,1,1,1,Beginner_Path
L0130,Elementary,1.5,1,57.84002779310748,29.56549056814253,61.29739514408738,25.823909198479853,66.1278023269704,41.991858696251576,2,1,2,2,2,2,Beginner_Path
L0131,Elementary,0.9,4,48.11738664913693,60.941779562040125,52.34079925804448,39.579013102786114,43.00755935770925,35.16550236522029,2,3,2,1,2,2,Beginner_Path
L0132,Beginner,1.7,7,51.93112945851028,36.03538153949175,50.568747223681456,25.327233116272698,40.599628576957066,38.15719422296524,2,1,1,1,2,1,Beginner_Path
L0133,Beginner,0.7,2,50.21515392781864,49.31152117761741,63.64048530411758,46.26145616040516,54.19844487373053,46.726975771850675,2,2,2,2,2,2,Elementary_Path
L0134,Elementary,2.3,6,59.1891485465833,42.39963749819555,33.585691196802955,51.21652659591586,52.705134754664,40.23982252401057,2,2,2,2,2,2,Beginner_Path
L0135,Upper-Intermediate,1.2,4,70.40343227727003,61.19988018309236,73.00399191297636,76.98712801790344,58.933972646419946,60.5518550975828,3,3,3,2,3,3,Intermediate_Path
L0136,Elementary,1.6,7,39.20157552218513,47.691809202551596,52.90624386688087,44.29977534162756,55.053890117321366,46.650252624387115,1,2,2,2,2,2,Beginner_Path
L0137,Elementary,1.7,7,43.864123946372054,42.842128736717804,69.5482617414665,45.206497529430784,38.36997142216556,31.643933333536395,2,2,2,1,2,2,Beginner_Path
L0138,Intermediate,1.3,7,61.962409406667206,43.22238542008642,48.635969807935155,54.290688963923316,74.06807528732965,48.39618629464461,3,2,2,3,2,2,Elementary_Path
L0139,Elementary,1.9,5,55.45786713532355,59.69784258787496,74.35861025680605,47.1880681586453,41.77132395002022,57.22402161650503,2,2,3,2,2,2,Elementary_Path
L0140,Advanced,1.2,7,68.28428595239552,78.77729777106003,96.3585590156629,96.35333435364835,100.0,85.62179229812287,3,3,4,4,3,4,UpperIntermediate_Path
L0141,Advanced,2.1,5,89.91886798388249,66.5973361520443,94.03999338266142,91.36075412505346,100.0,66.20533036053834,4,3,4,4,3,4,UpperIntermediate_Path
L0142,Elementary,0.6,6,51.580892253231845,58.28166053957332,53.01940236781093,53.00112829620867,42.03387430372021,27.03008352720599,2,2,2,1,2,2,Beginner_Path
L0143,Elementary,1.6,2,47.224557436844485,39.957019841873766,50.63736967819971,52.995589082492025,50.20013805001611,46.62085692646775,2,1,2,2,2,2,Beginner_Path
L0144,Elementary,2.9,3,62.91273839015879,38.921761073843754,65.48116759269155,56.844424373817375,57.536442816334635,53.62390575917688,3,1,3,2,2,2,Elementary_Path
L0145,Elementary,0.8,5,54.21780074250871,27.34612412970026,44.314792459175614,50.88150041540255,57.83660474226708,28.8237854137385,2,1,2,2,2,2,Beginner_Path
L0146,Beginner,1.0,7,53.10191908080897,52.40941486596991,48.454141816438536,41.588480726789186,44.42336259976197,39.49712607496508,2,2,2,2,2,2,Beginner_Path
L0147,Intermediate,1.9,7,57.84039479649768,42.105194127903125,61.15818334293024,69.88806241193157,72.5215903696611,68.30343507489718,2,2,3,3,2,3,Elementary_Path
L0148,Elementary,1.6,1,59.37477492506925,45.5844948070565,47.37866551485902,41.34954081996888,48.77031053365631,63.878589879586386,2,2,2,2,2,2,Elementary_Path
L0149,Beginner,1.7,7,56.350663945275194,44.1262032254044,70.85975175683896,29.442574200484927,36.33282331423967,38.31222759859876,2,2,2,1,2,2,Beginner_Path
L0150,Elementary,1.8,2,63.116934492726614,49.21716933003097,59.1905073475346,36.14078400813144,46.531360120753895,50.068025945524745,3,2,2,2,2,2,Elementary_Path
L0151,Upper-Intermediate,1.9,4,64.07858406571268,69.40345688007808,86.13265544661144,74.82914563620255,83.58373231972128,48.668155723718556,3,3,4,3,3,3,Intermediate_Path
L0152,Beginner,2.3,4,37.46323922457619,17.98334141712584,56.37776780668662,19.462677587808766,43.65181040302646,55.99752547995989,1,0,1,2,1,2,Beginner_Path
L0153,Beginner,1.8,7,36.54835294550204,26.90275164232716,30.78650054681453,42.621540960596775,42.91283665690256,29.245097869038787,1,1,1,1,1,1,Beginner_Path
L0154,Elementary,1.3,1,54.89254535076328,46.87800338042522,72.52291909122032,46.90806905499447,57.952342492571816,35.665288415749586,2,2,2,2,2,2,Elementary_Path
L0155,Advanced,2.0,5,96.86353555014533,77.12825930013004,69.91042821504925,99.34639699821057,69.48947592146145,82.44793865560375,4,3,4,3,4,4,UpperIntermediate_Path
L0156,Beginner,2.8,2,31.61107325974264,37.03359459998768,37.312335899614794,31.280826895350096,43.1006882387515,50.11673414185431,1,1,1,2,1,2,Beginner_Path
L0157,Intermediate,1.4,1,60.67838513916938,61.817434088151415,60.409683268211,55.96681714582493,62.18568888873716,77.08046047543547,3,3,2,3,3,3,Elementary_Path
L0158,Intermediate,0.8,5,39.800726678438636,64.62502885800102,70.81723364970506,69.22203333293369,76.68808081300705,56.25408679475844,1,3,3,3,2,3,Elementary_Path
L0159,Beginner,2.3,2,54.419450058018896,22.738206421873166,47.18718266141488,51.831356467781525,24.71412017736333,44.98084172603655,2,1,2,1,1,2,Beginner_Path
L0160,Intermediate,1.4,7,54.87625759323306,76.96646054978955,63.331852593016066,51.1984763424818,75.57186632376758,55.43204048685504,2,3,2,3,3,3,Elementary_Path
L0161,Elementary,0.5,4,50.55863939844497,52.674793445541304,54.880026553722765,49.8178123258716,50.75409128924666,34.62204526981816,2,2,2,2,2,2,Beginner_Path
L0162,Intermediate,2.1,2,56.90350286011939,54.98285846330936,55.21976976477432,60.94418977684048,64.88989530660045,69.76743670788291,2,2,2,3,2,3,Elementary_Path
L0163,Intermediate,1.1,7,71.46027575013414,65.89536583076641,50.02767605515827,61.73653405621148,76.75918787609376,48.77872519643611,3,3,2,3,3,2,Elementary_Path
